Section Name,Section Number,Longitude,Latitude,GRCode,,,
Baimachong,1113,112.13,26.8,GR4865,,,
Baimachong,1113,112.13,26.8,GR4887,,,
Baimachong,1113,112.13,26.8,GR4889,,,
Baimachong,1113,112.13,26.8,GR5060,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR1140,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR1142,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR1249,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR1304,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR1320,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR1775,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR1776,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR1788,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR1983,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR1984,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR2730,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR4114,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR4396,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR4399,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR4403,,,
Bald Mounatin Corehole,57,-73.19,45.95,GR4839,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1278,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1279,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1282,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1349,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1353,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1367,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1411,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1443,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1667,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1670,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1756,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1757,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR1761,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR2025,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR2182,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR2261,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR3033,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR3035,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR3268,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR3271,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR3272,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR3273,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR3275,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR3277,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR4592,,,
Bardo Stawy Outcorop,311,20.93,50.74,GR4595,,,
Beechill Cove Fm,524,-62.15,45.77,GR1349,,,
Beechill Cove Fm,524,-62.15,45.77,GR1375,,,
Beechill Cove Fm,524,-62.15,45.77,GR1686,,,
Beechill Cove Fm,524,-62.15,45.77,GR1756,,,
Beechill Cove Fm,524,-62.15,45.77,GR1758,,,
Beechill Cove Fm,524,-62.15,45.77,GR1762,,,
Beechill Cove Fm,524,-62.15,45.77,GR1772,,,
Beechill Cove Fm,524,-62.15,45.77,GR2227,,,
Beechill Cove Fm,524,-62.15,45.77,GR2740,,,
Beechill Cove Fm,524,-62.15,45.77,GR2768,,,
Beechill Cove Fm,524,-62.15,45.77,GR3639,,,
Beechill Cove Fm,524,-62.15,45.77,GR3642,,,
Beechill Cove Fm,524,-62.15,45.77,GR3644,,,
Beechill Cove Fm,524,-62.15,45.77,GR3645,,,
Beechill Cove Fm,524,-62.15,45.77,GR3689,,,
Beechill Cove Fm,524,-62.15,45.77,GR4136,,,
Beiser Core,71,-84.61,39.53,GR1138,,,
Beiser Core,71,-84.61,39.53,GR1140,,,
Beiser Core,71,-84.61,39.53,GR1142,,,
Beiser Core,71,-84.61,39.53,GR1144,,,
Beiser Core,71,-84.61,39.53,GR1146,,,
Beiser Core,71,-84.61,39.53,GR1320,,,
Beiser Core,71,-84.61,39.53,GR3435,,,
Beiser Core,71,-84.61,39.53,GR4537,,,
Bekkebukta,117,10.68,59.9,GR1033,,,
Bekkebukta,117,10.68,59.9,GR1068,,,
Bekkebukta,117,10.68,59.9,GR1189,,,
Bekkebukta,117,10.68,59.9,GR3009,,,
Bekkebukta,117,10.68,59.9,GR4440,,,
Bekkebukta,117,10.68,59.9,GR4616,,,
Bekkebukta,117,10.68,59.9,GR4793,,,
Bekkebukta,117,10.68,59.9,GR4813,,,
Bekkebukta,117,10.68,59.9,GR4819,,,
Bekkebukta,117,10.68,59.9,GR4844,,,
Bekkebukta,117,10.68,59.9,GR4853,,,
Bekkebukta,117,10.68,59.9,GR4865,,,
Bestorp Core,48,13.5,58.2,GR1275,,,
Bestorp Core,48,13.5,58.2,GR1840,,,
Bestorp Core,48,13.5,58.2,GR1987,,,
Bestorp Core,48,13.5,58.2,GR3202,,,
Bestorp Core,48,13.5,58.2,GR4353,,,
Bestorp Core,48,13.5,58.2,GR4867,,,
Bestorp Core,48,13.5,58.2,GR4871,,,
Bialgoral Core,29,17.96,54.82,GR1068,,,
Bialgoral Core,29,17.96,54.82,GR1193,,,
Bialgoral Core,29,17.96,54.82,GR1196,,,
Bialgoral Core,29,17.96,54.82,GR1245,,,
Bialgoral Core,29,17.96,54.82,GR1266,,,
Bialgoral Core,29,17.96,54.82,GR1271,,,
Bialgoral Core,29,17.96,54.82,GR1272,,,
Bialgoral Core,29,17.96,54.82,GR1273,,,
Bialgoral Core,29,17.96,54.82,GR1274,,,
Bialgoral Core,29,17.96,54.82,GR1383,,,
Bialgoral Core,29,17.96,54.82,GR2118,,,
Bialgoral Core,29,17.96,54.82,GR2127,,,
Bialgoral Core,29,17.96,54.82,GR2240,,,
Bialgoral Core,29,17.96,54.82,GR2351,,,
Bialgoral Core,29,17.96,54.82,GR2694,,,
Bialgoral Core,29,17.96,54.82,GR2761,,,
Bialgoral Core,29,17.96,54.82,GR3311,,,
